timestamp,value,classification,date
1517463000,30,Fear,2/1/18
1517549400,15,Extreme Fear,2/2/18
1517635800,40,Fear,2/3/18
1517722200,24,Extreme Fear,2/4/18
1517808600,11,Extreme Fear,2/5/18
1517895000,8,Extreme Fear,2/6/18
1517981400,36,Fear,2/7/18
1518067800,30,Fear,2/8/18
1518154200,44,Fear,2/9/18
1518240600,54,Neutral,2/10/18
1518327000,31,Fear,2/11/18
1518413400,42,Fear,2/12/18
1518499800,35,Fear,2/13/18
1518586200,55,Greed,2/14/18
1518672600,71,Greed,2/15/18
1518759000,67,Greed,2/16/18
1518845400,74,Greed,2/17/18
1518931800,63,Greed,2/18/18
1519018200,67,Greed,2/19/18
1519104600,74,Greed,2/20/18
1519191000,54,Neutral,2/21/18
1519277400,44,Fear,2/22/18
1519363800,39,Fear,2/23/18
1519450200,31,Fear,2/24/18
1519536600,33,Fear,2/25/18
1519623000,37,Fear,2/26/18
1519709400,44,Fear,2/27/18
1519795800,41,Fear,2/28/18
1519882200,38,Fear,3/1/18
1519968600,47,Neutral,3/2/18
1520055000,56,Greed,3/3/18
1520141400,44,Fear,3/4/18
1520227800,55,Greed,3/5/18
1520314200,59,Greed,3/6/18
1520400600,37,Fear,3/7/18
1520487000,39,Fear,3/8/18
1520573400,37,Fear,3/9/18
1520659800,39,Fear,3/10/18
1520746200,40,Fear,3/11/18
1520832600,41,Fear,3/12/18
1520919000,41,Fear,3/13/18
1521005400,40,Fear,3/14/18
1521091800,32,Fear,3/15/18
1521178200,33,Fear,3/16/18
1521264600,31,Fear,3/17/18
1521351000,29,Fear,3/18/18
1521437400,29,Fear,3/19/18
1521523800,37,Fear,3/20/18
1521610200,36,Fear,3/21/18
1521696600,36,Fear,3/22/18
1521783000,28,Fear,3/23/18
1521869400,32,Fear,3/24/18
1521955800,30,Fear,3/25/18
1522042200,31,Fear,3/26/18
1522128600,24,Extreme Fear,3/27/18
1522215000,24,Extreme Fear,3/28/18
1522301400,18,Extreme Fear,3/29/18
1522387800,12,Extreme Fear,3/30/18
1522474200,16,Extreme Fear,3/31/18
1522560600,16,Extreme Fear,4/1/18
1522647000,11,Extreme Fear,4/2/18
1522733400,22,Extreme Fear,4/3/18
